hour,wind,solar,coal,gas,DSM_up,DSM_down
32,6400.0,5047.871847642327,0.0,0.0,0.0,839.5084762325478
33,6799.999999999999,2615.633668285932,0.0,0.0,260.9596639825195,0.0
34,7200.0,2547.7622988581297,0.0,0.0,312.87093937738064,0.0
35,7600.0,4402.663910573703,0.0,0.0,558.640011395315,0.0
36,6000.0,6400.0,4302.606520221354,0.0,242.48501100037174,0.0
37,6400.0,6400.0,3111.674768710598,0.0,351.49326198337803,0.0
38,6799.999999999999,6400.0,3200.96872482913,0.0,0.0,886.9404115064171
39,7200.0,6400.0,2909.4159095857267,0.0,0.0,839.5084762325478
40,7600.0,6400.0,2028.7921403700402,0.0,260.9596639825195,0.0
41,6000.0,6400.0,3681.6503686929227,0.0,312.87093937738064,0.0
42,6400.0,6400.0,189.77610731131972,0.0,558.640011395315,0.0
43,6799.999999999999,5829.951782770174,0.0,0.0,242.48501100037174,0.0
44,7200.0,-0.0,14.953040745544058,4000.0,351.49326198337803,0.0
45,7600.0,-0.0,1229.7339841276516,4000.0,0.0,886.9404115064171
46,6000.0,-0.0,3282.0688242487395,4000.0,0.0,839.5084762325478
47,6400.0,-0.0,148.45616563789736,4000.0,260.9596639825195,0.0
48,6799.999999999999,-0.0,0.0,903.3471277433919,312.87093937738064,0.0
49,7200.0,-0.0,0.0,0.0,558.640011395315,0.0
50,7347.320415530289,0.0,0.0,0.0,242.48501100037174,0.0
51,6000.0,-0.0,0.0,1367.5561439830162,351.49326198337803,0.0
52,6400.0,-0.0,0.0,3096.0182049546693,0.0,886.9404115064171
53,6799.999999999999,-0.0,0.0,2101.995725266911,0.0,839.5084762325478
54,7200.0,-0.0,1125.2622858678533,4000.0,260.9596639825195,0.0
55,7600.0,3515.0008502475903,0.0,0.0,312.87093937738064,0.0
56,6000.0,4907.607646813278,0.0,0.0,558.640011395315,0.0
57,6400.0,3712.918725750669,0.0,0.0,242.48501100037174,0.0
58,6799.999999999999,3075.649470194542,0.0,0.0,351.49326198337803,0.0
59,7200.0,3843.903472226215,0.0,0.0,0.0,886.9404115064171
60,7600.0,6400.0,4156.77020763013,0.0,0.0,839.5084762325478
61,6000.0,6400.0,4658.574543103239,0.0,260.9596639825195,0.0
62,6400.0,6400.0,2663.392796870401,0.0,312.87093937738064,0.0
63,6799.999999999999,6400.0,2532.3127509361566,0.0,558.640011395315,0.0
64,7200.0,6400.0,2903.7955423091626,0.0,242.48501100037174,0.0
65,7600.0,6400.0,497.8375502159106,0.0,351.49326198337803,0.0
66,6000.0,6059.143716648223,0.0,0.0,0.0,886.9404115064171
67,6400.0,6400.0,0.0,67.80460977793518,0.0,839.5084762325478
68,6799.999999999999,-0.0,931.8651634644675,4000.0,260.9596639825195,0.0
69,7200.0,-0.0,0.0,2889.6521517919336,312.87093937738064,0.0
70,7600.0,-0.0,0.0,3093.571743371329,558.640011395315,0.0
71,6000.0,-0.0,1978.2915765234156,4000.0,242.48501100037174,0.0
72,6400.0,-0.0,0.0,1478.3334062536687,351.49326198337803,0.0
73,6799.999999999999,-0.0,0.0,2085.6959693632753,0.0,886.9404115064171
74,7200.0,-0.0,0.0,901.5643617279611,0.0,839.5084762325478
75,7241.000002201441,0.0,0.0,0.0,260.9596639825195,0.0
76,6000.0,-0.0,0.0,2170.9334243210305,312.87093937738064,0.0
77,6400.0,-0.0,0.0,1278.0443480392587,558.640011395315,0.0
78,6799.999999999999,-0.0,0.0,2807.228866355331,242.48501100037174,0.0
79,7200.0,4288.843788047638,0.0,0.0,351.49326198337803,0.0
80,7600.0,3288.422920243689,0.0,0.0,0.0,886.9404115064171
81,6000.0,5061.286771043209,0.0,0.0,0.0,839.5084762325478
82,6400.0,4262.083276627747,0.0,0.0,260.9596639825195,0.0
83,6799.999999999999,4723.217741228981,0.0,0.0,312.87093937738064,0.0
84,7200.0,6400.0,2887.3562885567353,0.0,558.640011395315,0.0
85,7600.0,6400.0,1061.7693091349684,0.0,242.48501100037174,0.0
86,6000.0,6400.0,2670.5593346335136,0.0,351.49326198337803,0.0
87,6400.0,6400.0,3142.8473211619385,0.0,0.0,886.9404115064171
88,6799.999999999999,6400.0,3364.598845301689,0.0,0.0,839.5084762325478
89,7200.0,6400.0,1480.9591849121953,0.0,260.9596639825195,0.0
90,7600.0,5927.600550926998,0.0,0.0,312.87093937738064,0.0
91,6000.0,4107.944758220718,0.0,0.0,558.640011395315,0.0
92,6400.0,-0.0,800.3037174201854,4000.0,242.48501100037174,0.0
93,6799.999999999999,-0.0,546.484281505539,4000.0,351.49326198337803,0.0
94,7200.0,-0.0,2021.0645030584055,4000.0,0.0,886.9404115064171
95,7600.0,-0.0,1137.1346947533384,4000.0,0.0,839.5084762325478
96,6000.0,-0.0,0.0,1382.7847120262804,260.9596639825195,0.0
97,6400.0,-0.0,0.0,1530.624063132349,312.87093937738064,0.0
98,6799.999999999999,-0.0,0.0,395.77736966037446,558.640011395315,0.0
99,7200.0,-0.0,0.0,0.0,242.48501100037174,0.0
100,7282.63952879285,0.0,0.0,0.0,351.49326198337803,0.0
101,6000.0,-0.0,0.0,2539.6057038722174,0.0,886.9404115064171
102,6400.0,-0.0,2602.862111835724,4000.0,0.0,839.5084762325478
103,6799.999999999999,2148.0363460580184,0.0,0.0,260.9596639825195,0.0
104,7200.0,4678.244673768511,0.0,0.0,312.87093937738064,0.0
