hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle
171,1,1,0.9351,0.5823,0,1,1,1,1,1,1
172,1,1,0.9229,0.5378,0,1,1,1,1,1,1
173,1,1,0.9188,0.4968,0,1,1,1,1,1,1
174,1,1,0.9083,0.4533,0,1,1,1,1,1,1
175,1,1,0.847,0.4002,0,1,1,1,1,1,1
176,1,1,0.7908,0.3431,0.0020,1,1,1,1,1,1
177,1,1,0.7248,0.2901,0.0160,1,1,1,1,1,1
178,1,1,0.6969,0.2315,0.0360,1,1,1,1,1,1
179,1,1,0.6803,0.1802,0.0540,1,1,1,1,1,1
180,1,1,0.5906,0.1537,0.0640,1,1,1,1,1,1
181,1,1,0.4498,0.1384,0.0610,1,1,1,1,1,1
182,1,1,0.2915,0.1312,0.0400,1,1,1,1,1,1
183,1,1,0.1904,0.1316,0.0110,1,1,1,1,1,1
184,1,1,0.1564,0.1372,0,1,1,1,1,1,1
185,1,1,0.1451,0.1328,0,1,1,1,1,1,1
186,1,1,0.161,0.1292,0,1,1,1,1,1,1
187,1,1,0.1873,0.1306,0,1,1,1,1,1,1
188,1,1,0.1983,0.1335,0,1,1,1,1,1,1
189,1,1,0.2255,0.1352,0,1,1,1,1,1,1
190,1,1,0.2522,0.1312,0,1,1,1,1,1,1
191,1,1,0.2855,0.1208,0,1,1,1,1,1,1
192,1,1,0.2935,0.1125,0,1,1,1,1,1,1
193,1,1,0.2907,0.1058,0,1,1,1,1,1,1
194,1,1,0.265,0.1045,0,1,1,1,1,1,1
195,1,1,0.2679,0.1027,0,1,1,1,1,1,1
196,1,1,0.2591,0.0973,0,1,1,1,1,1,1
197,1,1,0.226,0.0991,0,1,1,1,1,1,1
198,1,1,0.1997,0.1082,0,1,1,1,1,1,1
199,1,1,0.2213,0.1149,0,1,1,1,1,1,1
200,1,1,0.2496,0.1167,0.0010,1,1,1,1,1,1
201,1,1,0.2548,0.1077,0.0350,1,1,1,1,1,1
202,1,1,0.248,0.0903,0.0810,1,1,1,1,1,1
203,1,1,0.2322,0.0799,0.1210,1,1,1,1,1,1
204,1,1,0.2136,0.0766,0.1330,1,1,1,1,1,1
205,1,1,0.2066,0.0731,0.1130,1,1,1,1,1,1
206,1,1,0.216,0.0708,0.0730,1,1,1,1,1,1
207,1,1,0.2445,0.0747,0.0210,1,1,1,1,1,1
208,1,1,0.278,0.0859,0,1,1,1,1,1,1
209,1,1,0.2849,0.0974,0,1,1,1,1,1,1
210,1,1,0.2851,0.1043,0,1,1,1,1,1,1
211,1,1,0.3058,0.1156,0,1,1,1,1,1,1
212,1,1,0.3317,0.1279,0,1,1,1,1,1,1
213,1,1,0.3623,0.1411,0,1,1,1,1,1,1
214,1,1,0.3875,0.1533,0,1,1,1,1,1,1
215,1,1,0.4213,0.1582,0,1,1,1,1,1,1
216,1,1,0.4505,0.1669,0,1,1,1,1,1,1
217,1,1,0.4719,0.172,0,1,1,1,1,1,1
218,1,1,0.477,0.1773,0,1,1,1,1,1,1
219,1,1,0.4743,0.186,0,1,1,1,1,1,1
220,1,1,0.4693,0.1942,0,1,1,1,1,1,1
221,1,1,0.4624,0.2123,0,1,1,1,1,1,1
222,1,1,0.46,0.231,0,1,1,1,1,1,1
223,1,1,0.4669,0.2507,0,1,1,1,1,1,1
224,1,1,0.4944,0.2693,0.0040,1,1,1,1,1,1
225,1,1,0.5181,0.2802,0.0470,1,1,1,1,1,1
226,1,1,0.5663,0.2797,0.1030,1,1,1,1,1,1
227,1,1,0.6125,0.2821,0.1380,1,1,1,1,1,1
228,1,1,0.6636,0.3161,0.1520,1,1,1,1,1,1
229,1,1,0.694,0.342,0.1340,1,1,1,1,1,1
230,1,1,0.7341,0.3646,0.0860,1,1,1,1,1,1
231,1,1,0.7653,0.3961,0.0260,1,1,1,1,1,1
232,1,1,0.7955,0.4326,0,1,1,1,1,1,1
233,1,1,0.8208,0.4697,0,1,1,1,1,1,1
234,1,1,0.8358,0.4919,0,1,1,1,1,1,1
235,1,1,0.8472,0.5054,0,1,1,1,1,1,1
236,1,1,0.8572,0.5069,0,1,1,1,1,1,1
237,1,1,0.8656,0.5027,0,1,1,1,1,1,1
238,1,1,0.8663,0.4878,0,1,1,1,1,1,1
239,1,1,0.8603,0.4619,0,1,1,1,1,1,1
240,1,1,0.8377,0.4467,0,1,1,1,1,1,1
241,1,1,0.8143,0.4238,0,1,1,1,1,1,1
242,1,1,0.7924,0.406,0,1,1,1,1,1,1
243,1,1,0.7552,0.3763,0,1,1,1,1,1,1
244,1,1,0.7152,0.3502,0,1,1,1,1,1,1
245,1,1,0.6975,0.3449,0,1,1,1,1,1,1
246,1,1,0.6846,0.3563,0,1,1,1,1,1,1
